PLATE_NO,ROLLING_DATE,SCALE,SPEC,STEEL_KIND,PT_THK,PT_WDTH,PT_LTH,PT_WGT,FUR_NO,FUR_NO_ROW,FUR_HZ_TEMP,FUR_HZ_TIME,FUR_SZ_TEMP,FUR_SZ_TIME,FUR_TIME,ROLLING_TEMP_T5,HSB,ROLLING_DESCALING,WORK_GR,Vol
PB562774,2008-08-01:00:00:15,0,AB/EH32-TM,T1,32.25,3707,15109,14180,1호기,1,1144,116,1133,59,282,934,1,8,2조,7.850335265930447
PB562775,2008-08-01:00:00:16,0,AB/EH32-TM,T1,32.25,3707,15109,14180,1호기,2,1144,122,1135,53,283,937,1,8,2조,7.850335265930447
PB562776,2008-08-01:00:00:59,0,NV-E36-TM,T8,33.27,3619,19181,18130,2호기,1,1129,116,1121,55,282,889,1,8,3조,7.850280498095141
PB562777,2008-08-01:00:01:24,0,NV-E36-TM,T8,33.27,3619,19181,18130,2호기,2,1152,125,1127,68,316,885,1,8,3조,7.850280498095141
PB562778,2008-08-01:00:01:44,0,BV-EH36-TM,T8,38.33,3098,13334,12430,3호기,1,1140,134,1128,48,314,873,1,8,1조,7.850375765943679
PB562779,2008-08-01:00:02:06,0,BV-EH36-TM,T8,38.33,3098,13334,12430,3호기,2,1143,127,1128,57,314,874,1,8,4조,7.850375765943679
PB562780,2008-08-01:00:02:28,0,BV-EH36-TM,T8,38.33,3099,16719,15590,1호기,1,1138,126,1130,50,289,878,1,8,2조,7.85010420790245
PB562781,2008-08-01:00:02:21,0,BV-EH36-TM,T8,38.33,3099,16719,15590,1호기,2,1139,126,1131,52,294,870,1,8,4조,7.85010420790245
PB562782,2008-08-01:00:02:51,0,BV-EH36-TM,T8,38.33,3099,16719,15590,2호기,1,1127,126,1122,52,293,873,1,8,1조,7.85010420790245
PB562783,2008-08-01:00:03:15,0,COMMON,T8,38.43,3129,16187,15280,2호기,2,1135,119,1124,73,298,881,1,8,4조,7.850205756776859
PB562784,2008-08-01:00:03:24,0,COMMON,T8,38.43,3129,16187,15280,3호기,1,1127,134,1123,58,297,869,1,8,2조,7.850205756776859
PB562785,2008-08-01:00:04:15,1,COMMON,T8,38.43,3129,16187,30560,3호기,2,1131,120,1125,68,299,1057,1,8,2조,15.700411513553718
PB562786,2008-08-01:00:04:20,0,COMMON,T8,38.43,3129,16187,15280,1호기,1,1132,125,1127,62,290,820,1,8,3조,7.850205756776859
PB562787,2008-08-01:00:05:47,0,COMMON,T0,30.23,1940,34797,16020,1호기,2,1119,130,1120,65,324,926,1,8,4조,7.850201989328271
PB562788,2008-08-01:00:05:25,0,GL-E32-TM,T1,34.28,2207,30543,18140,2호기,1,1119,126,1119,72,311,931,1,8,3조,7.8502311394109165
PB562789,2008-08-01:00:05:16,1,GL-E32-TM,T1,50.46,2185,21767,37680,3호기,1,1127,127,1123,71,312,929,1,5,2조,15.700505283473847
PB562790,2008-08-01:01:10:14,0,GL-E32-TM,T1,50.46,2200,21756,37920,2호기,2,1134,127,1124,92,329,929,1,6,2조,15.700712150516805
PB562791,2008-08-01:01:10:14,0,GL-E32-TM,T1,50.46,2200,21756,37920,3호기,2,1124,117,1124,87,315,929,1,6,3조,15.700712150516805
PB562792,2008-08-01:01:10:44,0,GL-E32-TM,T1,50.46,2200,21756,37920,1호기,1,1129,122,1125,78,313,925,1,6,2조,15.700712150516805
PB562793,2008-08-01:01:11:01,0,GL-E32-TM,T1,50.46,2200,21756,37920,2호기,2,1124,54,1127,78,312,928,1,6,2조,15.700712150516805
PB562794,2008-08-01:01:11:08,0,BV-EH36-TM,T8,50.46,2000,24500,38820,1호기,2,1110,123,1116,81,334,860,1,6,1조,15.700453784367493
PB562795,2008-08-01:01:12:45,0,GL-E36-TM,T8,44.39,2040,27501,39100,2호기,1,1114,64,1120,82,335,836,1,6,4조,15.700481043898606
PB562796,2008-08-01:01:12:49,0,GL-E36-TM,T8,44.39,2040,27501,39100,3호기,1,1113,124,1120,82,334,832,1,6,1조,15.700481043898606
PB562797,2008-08-01:01:13:47,0,GL-E36-TM,T8,48.44,2095,24490,39020,3호기,2,1118,71,1124,86,336,832,1,6,3조,15.700385577891051
PB562798,2008-08-01:01:13:05,0,GL-E36-TM,T8,48.44,2095,24490,39020,1호기,1,1117,69,1120,88,347,832,1,6,3조,15.700385577891051
PB562799,2008-08-01:01:14:20,0,GL-E36-TM,T8,48.44,2000,25588,38920,1호기,2,1108,62,1117,97,351,841,1,6,3조,15.700097860178317
PB562800,2008-08-01:01:14:53,0,COMMON,T1,45.4,2150,18453,14140,2호기,1,1123,62,1123,101,332,933,1,6,1조,7.8503336444541585
PB562801,2008-08-01:01:14:25,0,COMMON,T1,45.4,2150,18453,14140,2호기,2,1132,70,1126,95,344,933,1,6,1조,7.8503336444541585
PB562802,2008-08-01:01:15:39,0,COMMON,T1,45.4,2150,18453,14140,3호기,1,1129,43,1125,109,335,937,1,6,4조,7.8503336444541585
PB562803,2008-08-01:01:15:14,0,COMMON,T1,45.4,2090,18419,13720,3호기,2,1134,70,1127,94,335,930,1,6,1조,7.850294050215107
PB562804,2008-08-01:01:15:59,0,COMMON,T1,45.4,2090,18419,13720,1호기,1,1124,78,1124,94,335,936,1,6,1조,7.850294050215107
PB562805,2008-08-01:01:15:34,0,COMMON,T1,45.4,2090,18419,13720,1호기,2,1126,74,1125,92,334,933,1,6,1조,7.850294050215107
PB562806,2008-08-01:02:20:52,0,COMMON,T8,44.9,3125,14008,15430,2호기,1,1111,61,1123,108,336,838,1,6,3조,7.8504297258073334
PB562807,2008-08-01:02:20:28,0,GL-E36-TM,T8,44.39,2495,15677,27260,2호기,2,1133,75,1127,91,347,837,1,6,3조,15.700272786108718
PB562808,2008-08-01:02:21:27,0,AB/EH36-TM,T8,51.27,3060,12407,15280,3호기,1,1133,57,1125,103,339,862,1,6,4조,7.8500392477867695
PB562809,2008-08-01:02:21:11,0,AB/EH36-TM,T8,51.27,3060,12407,15280,3호기,2,1127,63,1128,106,337,862,1,6,4조,7.8500392477867695
PB562810,2008-08-01:02:21:37,0,AB/EH36-TM,T8,51.27,3060,12407,15280,1호기,1,1133,70,1126,91,337,861,1,6,2조,7.8500392477867695
PB562811,2008-08-01:02:21:17,0,AB/EH36-TM,T8,51.27,3060,12407,15280,1호기,2,1122,57,1123,105,337,862,1,6,4조,7.8500392477867695
PB562812,2008-08-01:02:22:11,0,AB/EH36-TM,T8,51.27,3060,12407,15280,2호기,1,1133,84,1124,81,338,856,1,6,2조,7.8500392477867695
PB562813,2008-08-01:02:22:16,0,AB/EH36-TM,T8,51.27,3060,12407,15280,2호기,2,1133,93,1127,75,330,860,1,6,3조,7.8500392477867695
PB562814,2008-08-01:02:22:18,0,GL-E36-TM,T8,55.51,3765,11398,37400,3호기,1,1126,62,1125,106,340,863,1,6,3조,15.700256283893276
PB562815,2008-08-01:02:23:09,0,GL-E36-TM,T8,55.51,3765,11398,37400,3호기,2,1132,95,1128,80,341,864,1,6,1조,15.700256283893276
PB562816,2008-08-01:02:23:26,0,BV-EH36-TM,T8,55.5,3302,11017,31700,1호기,1,1137,89,1131,83,341,864,1,6,4조,15.70094747496315
PB562817,2008-08-01:02:23:09,0,COMMON,T8,55.5,3302,11017,15850,1호기,2,1127,72,1128,100,339,845,1,6,3조,7.850473737481575
PB562818,2008-08-01:02:24:27,0,KS-HSB600,T5,40.0,3990,13896,34820,2호기,1,1112,77,1124,97,359,808,1,6,1조,15.700232157826921
PB562819,2008-08-01:02:24:44,0,NV-E36-TM,T8,60.58,3105,12386,18290,2호기,2,1125,90,1128,90,345,845,1,6,4조,7.85039946597155
PB562820,2008-08-01:02:25:45,0,COMMON,T8,60.58,2498,11987,14240,3호기,1,1126,73,1126,107,344,850,1,6,1조,7.8501468485305645
PB562821,2008-08-01:02:25:17,0,LR-EH36-TM,T8,64.48899999999999,3505,7969,14140,3호기,2,1135,106,1130,84,358,852,1,6,1조,7.850040868243079
PB562822,2008-08-01:02:25:50,0,COMMON,T8,60.58,2498,11987,14240,1호기,1,1139,101,1128,82,352,845,1,6,3조,7.8501468485305645
PB562823,2008-08-01:03:30:18,0,COMMON,T8,60.63,2498,11977,14240,1호기,2,1129,84,1128,98,346,845,1,6,4조,7.850221980879657
PB562824,2008-08-01:03:30:48,0,LR-EH36-TM,T8,64.48899999999999,3505,7969,14140,2호기,1,1131,106,1125,76,345,847,1,6,2조,7.850040868243079
PB562825,2008-08-01:03:30:07,0,COMMON,T8,60.58,2498,11987,14240,2호기,2,1137,116,1129,71,345,849,1,6,4조,7.8501468485305645
PB562826,2008-08-01:03:31:44,0,AB/EH36-TM,T8,64.12,3110,10387,16260,3호기,1,1130,84,1129,101,345,845,1,6,4조,7.850123820041636
PB562827,2008-08-01:03:31:31,0,AB/EH36-TM,T8,64.12,3110,10387,16260,3호기,2,1140,114,1132,74,357,844,1,6,2조,7.850123820041636
PB562828,2008-08-01:03:31:37,0,BV-EH36-TM,T8,60.57,2085,16583,32880,1호기,1,1141,113,1133,73,332,852,1,6,1조,15.700196036766153
PB562829,2008-08-01:03:32:13,0,NV-E36-TM,T8,65.64,3195,11832,19480,1호기,2,1142,121,1135,75,346,853,1,6,1조,7.850392242446529
PB562830,2008-08-01:03:32:10,0,BV-EH36-TM,T8,67.65,3303,11020,38660,2호기,1,1137,110,1128,75,341,851,1,6,2조,15.70015285057216
PB562831,2008-08-01:03:32:50,0,BV-EH36-TM,T8,67.65,3303,11020,38660,2호기,2,1134,111,1129,72,343,850,1,6,4조,15.70015285057216
PB562832,2008-08-01:03:32:34,0,COMMON,T8,65.69,2498,11978,15430,3호기,1,1138,99,1129,86,352,847,1,6,2조,7.8503662982817595
PB562833,2008-08-01:03:33:48,0,COMMON,T8,65.64,2498,11987,15430,3호기,2,1137,109,1132,73,352,849,1,6,1조,7.8504475130947435
PB562834,2008-08-01:03:33:52,1,COMMON,T8,65.69,2498,11978,15430,1호기,1,1142,110,1134,73,343,851,1,5,4조,7.8503662982817595
PB562835,2008-08-01:03:33:38,0,COMMON,T8,65.64,2498,11987,15430,1호기,2,1144,110,1136,72,346,847,1,6,3조,7.8504475130947435
PB562836,2008-08-01:03:34:08,0,COMMON,T8,65.64,2498,11987,15430,2호기,1,1137,98,1129,73,344,847,1,6,2조,7.8504475130947435
PB562837,2008-08-01:03:34:02,0,COMMON,T8,65.64,2498,11987,15430,2호기,2,1135,101,1130,73,352,844,1,6,1조,7.8504475130947435
PB562838,2008-08-01:03:34:26,0,BV-EH36-TM,T8,70.7,2745,11014,16780,3호기,1,1142,109,1130,73,356,840,1,6,2조,7.850279539729278
PB562839,2008-08-01:03:34:14,0,BV-EH36-TM,T8,70.7,2745,11014,16780,3호기,2,1145,109,1134,69,350,846,1,6,1조,7.850279539729278
PB562840,2008-08-01:03:35:27,0,BV-EH36-TM,T8,73.71,2725,11009,17360,1호기,1,1144,112,1134,67,341,844,1,6,1조,7.850709931270653
